Regen;rain
hervorbringen, produzieren;to produce
Universität;university
Erfinder, Erfinderin;inventor
geboren werden;to be born
schottisch;Scottish
Held;hero
sein, ihr;its
Sonnen-, Solar-, solar;solar
Energie, Kraft, Macht;power
Strom, Elektrizität;electricity
Windpark;wind farm
See;lake
See (in Schottland);loch
Häuschen;cottage
wild;wild
Tradition;tradition
Dudelsack;bagpipes
Schottenrock, Kilt;kilt
Art, Sorte;kind
Schotte, Schottin;Scot
Haferbrei;porridge
Hafer;oat
Windrad;wind turbine
schützen;to protect
Natur;nature
Ausstellung;exhibition
der, dem, den, die;who
verändern, (sich) ändern;to change
als;as
erfinden;to invent
Telefon;telephone
aufwachsen;to grow up
davor;before that
Ziel;ambition
Ehefrau;wife
beide;both
gehörlos, schwerhörig, taub;deaf
Sprache, Rede;speech
menschlich;human
die, der, dem, den, das;which
Kanada;Canada
USA (Vereinigte Staaten von Amerika);USA (United States of America)
aufgeben;to give up
Erfindung;invention
